id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
23;766;Feel unsafe neigh.;Often feel unsafe in the neighbourhood;Quality of Life;Safety;Crime;Here and now;Tactical;Adverse Outcome;Population;;Safe and Healthy;6_RMBW;Social
220;767;Number of new and renovated sports facilities to be delivered;Number of new and renovated sports facilities to be delivered;Economic Capital;Physical Capital;Infrastructure;Here and now, Later;;;;City;Safe and Healthy;10_DBoom;Economic
29;768;Satisfaction with green space;Satisfaction with green space;Natural Capital;Land and Ecosystems;Land;Here and now;;;;City;Safe and Healthy;2_BWMRA;Environmental
415;769;Violent crimes (number per 1,000 population);Violent crimes (number per 1,000 population);Quality of Life;Safety;Crime;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
11;770;DestructionAndDamage ;Destruction and damage (in public areas);Quality of Life;Safety;Crime;Here and now;;;;;Safe and Healthy;11_BBV;Social
233;771;Domestic violence;Domestic violence;Quality of Life;Safety;Safety;Here and now;;System Condition;Units;City;Safe and Healthy;1_StaatVDS;Social
139;772;Number of trips Animal Ambulance Amsterdam;Number of trips Animal Ambulance Amsterdam;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
286;773;The number of (expectant) parents reached through birth (care) and welfare institutions and reached with the Now Not Pregnant methodology;The number of (expectant) parents reached through birth (care) and welfare institutions and reached with the Now Not Pregnant methodology;Quality of Life;Health;Health care facilities;Here and now, Later;;;;;Safe and Healthy;10_DBoom;Social
447;774;Number of recommendations followed up from Data Protection Impact Assessments (DPIAs);Number of recommendations followed up from Data Protection Impact Assessments (DPIAs);Economic Capital;Physical Capital;ICT;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
416;775;Thefts from home (number per 1,000 population);Thefts from home (number per 1,000 population);Quality of Life;Safety;Crime;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
418;776;Halt referrals (number per 1,000 population);Halt referrals (number per 1,000 population);Quality of Life;Safety;Crime;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
19;777;Victim crime;Victim of crime;Quality of Life;Safety;Crime;Here and now;;Adverse Outcome;People;;Safe and Healthy;4_Stadsdonut;Social
123;778;Timely issuance of nautical frameworks for the purpose of smooth and safe use of waterways (within 14 days of receipt of the complete consent application);Timely issuance of nautical frameworks for the purpose of smooth and safe use of waterways (within 14 days of receipt of the complete consent application);Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
151;779;Number of neighborhoods at high risk of round-water nuisance/congestion;Number of neighborhoods at high risk of round-water nuisance/congestion;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
401;780;Number of addresses visited during checks (undermining brigade/ integral checks);Number of addresses visited during checks (undermining brigade/ integral checks);Quality of Life;Safety;Crime;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
231;781;Percentage per district that meets the exercise guideline moderate intensive exercise compared to the urban target value;Percentage per district that meets the exercise guideline moderate intensive exercise compared to the urban target value;Quality of Life;Health;Lifestyle-Exercise;Here and now;;;;Stadsdeel;Safe and Healthy;10_DBoom;Social
225;782;Insecurity perception;Insecurity perception;Quality of Life;Safety;Safety;Here and now;;System Condition;Index;Neighborhood;Safe and Healthy;1_StaatVDS;Social
109;783;Deaths COVID-19;deaths due to COVID-19;Quality of Life;Health;COVID-19;Here and now;;Adverse Outcome;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
85;784;Green space per house;Green space per house;Natural Capital;Land and Ecosystems;Land use;Here and now, Later;;;;City;Safe and Healthy;1_StaatVDS;Environmental
7;785;Satisfaction with home;Satisfaction with home;Quality of Life;Housing;Quality of housing;Here and now;;;;City;Safe and Healthy;2_BWMRA;Social
16;786;Medical treatment;Medical treatment;Quality of Life;Health;Health care facilities;Here and now;;;;;Safe and Healthy;9_SDGs;Social
446;787;Comply with the national guideline for information security: the Government Information Security Baseline (BIO);Comply with the national guideline for information security: the Government Information Security Baseline (BIO);Economic Capital;Physical Capital;ICT;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
198;788;Sports limitations-Corona;Limitation on practicing sports due corona;Quality of Life;Work Life Balance;Sports;Here and now;;Adverse Outcome;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
117;789;Percentage of passages by professional boaters that take place within the specified time limit;Percentage of passages by professional boaters that take place within the specified time limit;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
230;790;Suspects crime (commited);Suspects crime (commited);Quality of Life;Safety;Crime;Here and now;;System Condition;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
197;791;New Sports-Corona;New sports during corona;Quality of Life;Work Life Balance;Sports;Here and now;;System Condition;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
234;792;Digital security;Digital security;Quality of Life;Safety;Safety;Here and now;;System Condition;People;City;Safe and Healthy;1_StaatVDS;Social
390;793;Number of incidents Fire Department PRIO 1, 2, 3 within municipal boundary;Number of incidents Fire Department PRIO 1, 2, 3 within municipal boundary;Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
141;794;Number of consultations with veterinarian based on ADAM scheme.;Number of consultations with veterinarian based on ADAM scheme.;Social Capital;Institutional;Partnerships;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
219;795;Number of top sports clubs (sports disciplines) participating in Amsterdam Talent program (Topsport Amsterdam);Number of top sports clubs (sports disciplines) participating in Amsterdam Talent program (Topsport Amsterdam);Quality of Life;Work Life Balance;Sports;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
85;796;The average walking distance to an ov stop (in meters by road);The average walking distance to an ov stop (in meters by road);Quality of Life;Transport;Transport;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
15;797;Victimization of crime;Victimization of crime;Quality of Life;Safety;Crime;Here and now;;;;City;Safe and Healthy;2_BWMRA;Social
6;798;Referrals Halt;Referrals Halt;Quality of Life;Safety;Suspects-prisioners;Here and now;;;;;Safe and Healthy;11_BBV;Social
49;799;Noise pollution;Noise pollution;Quality of Life;Health;Healthy life expectancy;Here and now;;Adverse Outcome;Index;City;Safe and Healthy;5_EVMRA;Social
13;800;Overweight;Overweight;Quality of Life;Health;Obesity;Here and now;;;;;Safe and Healthy;9_SDGs;Social
80;801;No reported crimes;No reported crimes;Quality of Life;Safety;Crime;Here and now;;;;;Safe and Healthy;9_SDGs;Social
405;802;Number of persons in direction of ACVZ (confused suspects, D&T, Top 600/400, Nuisance repeat offenders (regional), Doorgroegers);Number of persons in direction of ACVZ (confused suspects, D&T, Top 600/400, Nuisance repeat offenders (regional), Doorgroegers);Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
218;803;Percentage of sports clubs with municipal relationship meeting basic social safety requirements;Percentage of sports clubs with municipal relationship meeting basic social safety requirements;Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
216;804;Percentage of adults per district who structurally exercise weekly compared to city target value;Percentage of adults per district who structurally exercise weekly compared to city target value;Quality of Life;Work Life Balance;Sports;Here and now;;;;Stadsdeel;Safe and Healthy;10_DBoom;Social
392;805;The number of fire safety opinions handled;The number of fire safety opinions handled;Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
24;806;Feelings of unsafety;Feelings of unsafety;Quality of Life;Safety;Perceived safety;Here and now;;;;City;Safe and Healthy;2_BWMRA;Social
228;807;Nuisance to people;Nuisance to people;Quality of Life;Health;Nuisance;Here and now;;System Condition;Index;Neighborhood;Safe and Healthy;1_StaatVDS;Social
119;808;Physical activity;people that meet excercise guidelines;Quality of Life;Work Life Balance;Sports;Here and now;;System Condition;People;City;Safe and Healthy;1_StaatVDS;Social
29;809;Exposure particulate matter ;Urban exposure to particulate matter (PM2.5)†;Quality of Life;Air Quality;Particulate matter concentration;Here and now, Later;;Adverse Outcome;Amount substance;;Safe and Healthy;6_RMBW;Environmental
71;810;Seriously injured traffic accidents;Seriously injured traffic accidents;Quality of Life;Transport;Transport;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
417;811;Destruction and damage (in public places) (number per 1,000 inhabitants);Destruction and damage (in public places) (number per 1,000 inhabitants);Quality of Life;Safety;Crime;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
287;812;Number of Amsterdam residents with severe and moderate mental health complaints;Number of Amsterdam residents with severe and moderate mental health complaints;Quality of Life;Health;Mental health;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
77;813;Number of garages equipped with charging stations. By 2026, all owned garages are equipped with charging poles;Number of garages equipped with charging stations. By 2026, all owned garages are equipped with charging poles;Natural Capital;Energy Resources;Supply;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
216;814;Satisfaction city maintenance;Satisfaction city maintenance;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;System Condition;Units;Neighborhood;Safe and Healthy;1_StaatVDS;Social
217;815;Street lit;Street lit;Quality of Life;Safety;Crime;Here and now;;System Condition;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
90;816;Keeping streets and sidewalks clean is rated by residents at 6.5;Keeping streets and sidewalks clean is rated by residents at 6.5;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
7;817;Hard core youths;Hard core youths;Quality of Life;Safety;Suspects-prisioners;Here and now;;;;;Safe and Healthy;11_BBV;Social
5;818;Tap water quality;Tap water quality;Quality of Life;Water;Water quality;Here and now;;System Condition;Amount substance;;Safe and Healthy;4_Stadsdonut;Environmental
13;819;Other transportation accidents;Other transportation accidents involving an injured bicyclist;Quality of Life;Transport;Transport;Here and now;;;;;Safe and Healthy;11_BBV;Social
143;820;Unscheduled substandard delivery minutes (<5 minutes);Unscheduled substandard delivery minutes (<5 minutes);Quality of Life;Water;Water quality;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
10;821;Thefts from home;Thefts from home;Quality of Life;Safety;Crime;Here and now;;;;;Safe and Healthy;11_BBV;Social
120;822;Physical activity COVID-19;people who maintain active during coronavirus pandemic;Quality of Life;Health;COVID-19;Here and now;;System Condition;People;City;Safe and Healthy;1_StaatVDS;Social
